school_slug,school_name,short_name,bucket_default,bucket_local,bucket_best_value,tier_name,tier_rank,min_unweighted_gpa,max_unweighted_gpa,min_act,max_act,annual_award_usd,years_assumed,projected_total_usd,residency_rule_type,eligible_states,regional_rule_note,requires_separate_application,application_note,renewable,renewal_note,is_competitive,source_url,source_note,scholarship_page_url,school_notes_short,school_is_active,tier_is_active,tier_last_updated,school_last_updated
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 26-27 ACT / 3.75 GPA,11,3.75,,26,27,12000,4,48000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 28-29 ACT / 3.00 GPA,12,3.00,3.24,28,29,11500,4,46000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 28-29 ACT / 3.25 GPA,13,3.25,3.49,28,29,12000,4,48000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 28-29 ACT / 3.50 GPA,14,3.50,3.74,28,29,12500,4,50000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 28-29 ACT / 3.75 GPA,15,3.75,,28,29,13000,4,52000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 30-31 ACT / 3.00 GPA,16,3.00,3.24,30,31,12500,4,50000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 30-31 ACT / 3.25 GPA,17,3.25,3.49,30,31,13000,4,52000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 30-31 ACT / 3.50 GPA,18,3.50,3.74,30,31,13500,4,54000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 30-31 ACT / 3.75 GPA,19,3.75,,30,31,14000,4,56000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 32-36 ACT / 3.00 GPA,20,3.00,3.24,32,36,13500,4,54000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 32-36 ACT / 3.25 GPA,21,3.25,3.49,32,36,14000,4,56000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 32-36 ACT / 3.50 GPA,22,3.50,3.74,32,36,14500,4,58000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 32-36 ACT / 3.75 GPA,23,3.75,,32,36,15000,4,60000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
arkansas-state,Arkansas State University,A-State,true,false,true,A-State Endeavor,1,3.00,,19,20,2000,4,8000,all_students,,,false,,true,15 A-State hours per semester and 3.0 cumulative GPA,false,https://www.astate.edu/admissions-and-aid/financial-aid-and-scholarships/scholarships/university-scholarships/,2026-27 academic scholarships page,https://www.astate.edu/admissions-and-aid/financial-aid-and-scholarships/scholarships/,Automatic academic scholarships for admitted on-campus freshmen,true,true,2026-05-22,2026-05-22
arkansas-state,Arkansas State University,A-State,true,false,true,A-State Enrichment,2,3.00,,21,24,4000,4,16000,all_students,,,false,,true,15 A-State hours per semester and 3.0 cumulative GPA,false,https://www.astate.edu/admissions-and-aid/financial-aid-and-scholarships/scholarships/university-scholarships/,2026-27 academic scholarships page,https://www.astate.edu/admissions-and-aid/financial-aid-and-scholarships/scholarships/,Automatic academic scholarships for admitted on-campus freshmen,true,true,2026-05-22,2026-05-22
arkansas-state,Arkansas State University,A-State,true,false,true,A-State Inspire,3,3.50,,25,,6000,4,24000,all_students,,,false,,true,15 A-State hours per semester and 3.0 cumulative GPA,false,https://www.astate.edu/admissions-and-aid/financial-aid-and-scholarships/scholarships/university-scholarships/,2026-27 academic scholarships page,https://www.astate.edu/admissions-and-aid/financial-aid-and-scholarships/scholarships/,Automatic academic scholarships for admitted on-campus freshmen,true,true,2026-05-22,2026-05-22
arkansas-state,Arkansas State University,A-State,true,false,true,A-State Trailblazer,4,3.50,,28,,10000,4,40000,all_students,,,true,Apply by February 1; offer must be accepted by March 1,true,15 A-State hours per semester and 3.5 cumulative GPA,true,https://www.astate.edu/admissions-and-aid/financial-aid-and-scholarships/scholarships/competitive-fellowships-and-scholarships.html,Competitive scholarship; cannot be combined with Academic Scholarships,https://www.astate.edu/admissions-and-aid/financial-aid-and-scholarships/scholarships/,Competitive awards available above automatic academic scholarships,true,true,2026-05-22,2026-05-22
arkansas-state,Arkansas State University,A-State,true,false,true,A-State Scholar,5,3.50,,31,,18000,4,72000,all_students,,,true,Apply by February 1; offer must be accepted by March 1,true,15 A-State hours per semester including one Honors course and 3.5 cumulative GPA,true,https://www.astate.edu/admissions-and-aid/financial-aid-and-scholarships/scholarships/competitive-fellowships-and-scholarships.html,Competitive scholarship; cannot be combined with Academic Scholarships,https://www.astate.edu/admissions-and-aid/financial-aid-and-scholarships/scholarships/,Competitive awards available above automatic academic scholarships,true,true,2026-05-22,2026-05-22
university-of-arkansas,University of Arkansas,Arkansas,true,false,true,New Arkansan NRTA 70%,1,3.20,,,,14738,4,58952,regional,"GA,IL,KS,LA,MS,MO,OK,TN,TX",Surrounding-state New Arkansan NRTA; amount is 70% of the 2025-2026 nonresident/resident tuition difference,false,,true,24 or more hours per academic year and 2.75 cumulative GPA,false,https://scholarships.uark.edu/nrta/,Derived from published 2025-2026 NRTA percentage and tuition-difference tables,https://scholarships.uark.edu/nrta/,Automatic nonresident tuition award for eligible surrounding-state freshmen,true,true,2026-05-22,2026-05-22
university-of-arkansas,University of Arkansas,Arkansas,true,false,true,New Arkansan NRTA 80%,2,3.60,,,,16843,4,67372,regional,"GA,IL,KS,LA,MS,MO,OK,TN,TX",Surrounding-state New Arkansan NRTA; amount is 80% of the 2025-2026 nonresident/resident tuition difference,false,,true,24 or more hours per academic year and 2.75 cumulative GPA,false,https://scholarships.uark.edu/nrta/,Derived from published 2025-2026 NRTA percentage and tuition-difference tables,https://scholarships.uark.edu/nrta/,Automatic nonresident tuition award for eligible surrounding-state freshmen,true,true,2026-05-22,2026-05-22
university-of-arkansas,University of Arkansas,Arkansas,true,false,true,New Arkansan NRTA 90%,3,3.80,,,,18949,4,75796,regional,"GA,IL,KS,LA,MS,MO,OK,TN,TX",Surrounding-state New Arkansan NRTA; amount is 90% of the 2025-2026 nonresident/resident tuition difference,false,,true,24 or more hours per academic year and 2.75 cumulative GPA,false,https://scholarships.uark.edu/nrta/,Derived from published 2025-2026 NRTA percentage and tuition-difference tables,https://scholarships.uark.edu/nrta/,Automatic nonresident tuition award for eligible surrounding-state freshmen,true,true,2026-05-22,2026-05-22
nebraska,University of Nebraska-Lincoln,Nebraska,true,false,false,New Nebraskan Tuition Scholarship,1,,,,,15000,4,60000,out_of_state,NE,,false,,true,,true,https://admissions.unl.edu/cost/scholarships/,Holistic/range-based scholarship; published award range is $15000 to $20000 per year,https://admissions.unl.edu/cost/scholarships/,Nebraska publishes scholarship ranges and holistic review rather than a fixed ACT/GPA ladder,true,true,2026-05-22,2026-05-22
nebraska,University of Nebraska-Lincoln,Nebraska,true,false,false,Chancellor's Tuition Scholarship Out-of-State,2,,,,,23230,4,92920,out_of_state,NE,,false,,true,,true,https://admissions.unl.edu/cost/scholarships/,Holistic/range-based opportunity; value is published nonresident tuition waiver value plus $4000 per year,https://admissions.unl.edu/cost/scholarships/,Nebraska publishes scholarship ranges and holistic review rather than a fixed ACT/GPA ladder,true,true,2026-05-22,2026-05-22
nebraska,University of Nebraska-Lincoln,Nebraska,true,false,false,Chancellor's Tuition Scholarship In-State,3,,,,,8000,4,32000,in_state,NE,,false,,true,,true,https://admissions.unl.edu/cost/scholarships/chancellors-tuition-scholarship-in-state/,Score-influenced competitive scholarship; Nebraska publishes holistic review rather than a fixed automatic ladder,https://admissions.unl.edu/cost/scholarships/,Nebraska publishes scholarship ranges and holistic review rather than a fixed ACT/GPA ladder,true,true,2026-05-22,2026-05-22
nebraska,University of Nebraska-Lincoln,Nebraska,true,false,false,Nebraska Career Scholarship,4,,,,,8000,4,32000,in_state,NE,,false,,true,,true,https://admissions.unl.edu/cost/scholarships/,Score-influenced competitive scholarship; published value is minimum $8000 per year,https://admissions.unl.edu/cost/scholarships/,Nebraska publishes scholarship ranges and holistic review rather than a fixed ACT/GPA ladder,true,true,2026-05-22,2026-05-22
nebraska,University of Nebraska-Lincoln,Nebraska,true,false,false,David Distinguished Tuition Scholarship,5,,,,,4000,4,16000,in_state,NE,,false,,true,,true,https://admissions.unl.edu/cost/scholarships/,Score-influenced competitive scholarship; Nebraska publishes holistic review rather than a fixed automatic ladder,https://admissions.unl.edu/cost/scholarships/,Nebraska publishes scholarship ranges and holistic review rather than a fixed ACT/GPA ladder,true,true,2026-05-22,2026-05-22
nebraska,University of Nebraska-Lincoln,Nebraska,true,false,false,Nebraska Emerging Leaders Tuition Scholarship,6,,,,,2000,4,8000,in_state,NE,,false,,true,,true,https://admissions.unl.edu/cost/scholarships/,Score-influenced competitive scholarship; Nebraska publishes holistic review rather than a fixed automatic ladder,https://admissions.unl.edu/cost/scholarships/,Nebraska publishes scholarship ranges and holistic review rather than a fixed ACT/GPA ladder,true,true,2026-05-22,2026-05-22
nebraska,University of Nebraska-Lincoln,Nebraska,true,false,false,Nebraska Opportunity Scholarship,7,,,,,1000,4,4000,in_state,NE,,false,,true,,true,https://admissions.unl.edu/cost/scholarships/,Score-influenced competitive scholarship; Nebraska publishes holistic review rather than a fixed automatic ladder,https://admissions.unl.edu/cost/scholarships/,Nebraska publishes scholarship ranges and holistic review rather than a fixed ACT/GPA ladder,true,true,2026-05-22,2026-05-22
